Country,Year,AHS Weighted Average (%),Country Growth (%)
Palau,2015,1.09,-4.55
Papua New Guinea,2015,1.69,
Poland,2015,6.28,-6.44
"Korea, Dem. Rep.",2015,6.65,
Portugal,2015,7.61,-7.62
Paraguay,2015,22.83,-8.04
Occ.Pal.Terr,2015,1.41,-4.11
French Polynesia,2015,3.79,-6.91
Qatar,2015,1.2,3.49
Romania,2015,6.33,-5.3
Russian Federation,2015,1.69,-20.15
Rwanda,2015,5.04,3.94
Saudi Arabia,2015,1.6,1.93
Senegal,2015,5.49,-7.24
"Serbia, FR(Serbia/Montenegro)",2015,7.6,-6
Singapore,2015,2.99,-9.71
South Georgia and the South Sa,2015,3.99,
Saint Helena,2015,1.08,
Solomon Islands,2015,0.56,-3.41
Sierra Leone,2015,0.32,-7.51
El Salvador,2015,7.56,-1.06
San Marino,2015,2.56,
Somalia,2015,0.37,
Special Cate.,2015,0.12,
Saint Pierre and Miquelon,2015,0.59,
South Sudan,2015,4.71,
Sao Tome and Principe,2015,1.43,-8.58
Sudan,2015,5.82,-6.92
Suriname,2015,0.7,2.11
Slovak Republic,2015,6.52,-5.1
Slovenia,2015,4.48,-7.21
Sweden,2015,4.79,-7.78
Eswatini,2015,2.99,-6.63
Saint Maarten (Dutch part),2015,0.84,
Seychelles,2015,0.9,-40.69
Syrian Arab Republic,2015,2.93,
Turks and Caicos Isl.,2015,2.98,
Chad,2015,0.12,
Togo,2015,4.14,-3.92
Thailand,2015,7.21,-5.71
Tajikistan,2015,3.12,
Tokelau,2015,6.09,
Turkmenistan,2015,0.3,
East Timor,2015,2.26,
Tonga,2015,2.98,
Trinidad and Tobago,2015,1.61,-9.36
Tunisia,2015,3.67,-9.69
Turkey,2015,4.76,-7.77
Tuvalu,2015,1.4,
Tanzania,2015,3.43,7.65
Uganda,2015,9.63,-4.6
Ukraine,2015,5.37,-16.94
United States Minor Outlying I,2015,1.92,
Unspecified,2015,5.42,
Uruguay,2015,26.99,-6.1
United States,2015,5.75,-2.04
Uzbekistan,2015,1.43,
Holy See,2015,0.76,
St. Vincent and the Grenadines,2015,1.35,-3.93
Venezuela,2015,1.3,
British Virgin Islands,2015,1.19,
Vietnam,2015,6.05,5.89
Vanuatu,2015,4.74,
 World,2015,4.22,-6.3
Wallis and Futura Isl.,2015,2.51,
Samoa,2015,4.1,-2.27
Yemen,2015,0.22,-26.12
South Africa,2015,3.12,-7.43
"Congo, Dem. Rep.",2015,0.88,
Zambia,2015,0.79,-10.61
Zimbabwe,2015,4.35,-0.14
East Asia & Pacific,2015,4.81,
Europe & Central Asia,2015,3.92,
Latin America & Caribbean,2015,6.22,
Middle East & North Africa,2015,1.94,
North America,2015,5.73,
South Asia,2015,6.55,
Sub-Saharan Africa,2015,1.73,
