Country,Year,World Growth (%),Country Growth (%),Export (US$ Thousand)
"Congo, Rep.",2016,3.36,3.36,6025666
Cook Islands,2016,,,180101.05
Colombia,2016,-8.91,-8.91,48231467.08
Comoros,2016,6.38,6.38,510627.37
Cape Verde,2016,5.54,5.54,1284379.42
Costa Rica,2016,-0.59,-0.59,15129432.73
Cuba,2016,,,9124447.19
Cura√ßao,2016,,,2105994.62
Christmas Island,2016,,,33997.77
Cayman Islands,2016,,,7271065
Cyprus,2016,5.02,5.02,9583720.45
Czech Republic,2016,0.57,0.57,130236956.4
Germany,2016,0.16,0.16,967818822.9
Djibouti,2016,,,4804701.7
Dominica,2016,,,248492.03
Denmark,2016,-0.53,-0.53,81396355.7
Dominican Republic,2016,1.59,1.59,18324887.83
Algeria,2016,-4.66,-4.66,70257517.62
Ecuador,2016,-13,-13,16339057.33
"Egypt, Arab Rep.",2016,-2.27,-2.27,86670472.02
Eritrea,2016,,,420182.1
Western Sahara,2016,,,3954.11
Spain,2016,-0.29,-0.29,291560541.1
Estonia,2016,-0.16,-0.16,17324390.89
Ethiopia(excludes Eritrea),2016,-0.67,-0.67,12016432.18
Finland,2016,0.27,0.27,59785634.25
Fiji,2016,0.75,0.75,2095589.74
Falkland Island,2016,,,168225.95
France,2016,-0.25,-0.25,539721799.9
Free Zones,2016,,,8167311.97
Faeroe Islands,2016,,,1647953.66
"Micronesia, Fed. Sts.",2016,,,181434.66
Gabon,2016,,,3523093.33
United Kingdom,2016,0.48,0.48,619577884.8
Georgia,2016,0.26,0.26,9559874.23
Ghana,2016,-12.05,-12.05,17558899.93
Gibraltar,2016,,,12774330.11
Guinea,2016,27.25,27.25,4485965.05
"Gambia, The",2016,-3.26,-3.26,1089875.95
Guinea-Bissau,2016,,,443865.62
Equatorial Guinea,2016,,,1742745.19
Greece,2016,0.35,0.35,44275605.67
Grenada,2016,4.56,4.56,307705.37
Greenland,2016,4.89,4.89,1339012.03
Guatemala,2016,-1.88,-1.88,15925998.31
Guam,2016,,,782946.3
Guyana,2016,4.63,4.63,1418335.72
"Hong Kong, China",2016,-1.09,-1.09,642062997.1
Heard Island and McDonald Isla,2016,,,1026928.42
Honduras,2016,-2.84,-2.84,10773688.5
Croatia,2016,2.99,2.99,20889106.66
Haiti,2016,,,3962944.48
Hungary,2016,0.8,0.8,89677371.19
Indonesia,2016,-2.5,-2.5,148558661.5
India,2016,-4.46,-4.46,334435358.4
British Indian Ocean Ter.,2016,,,34398.02
Ireland,2016,2.82,2.82,68701536.27
"Iran, Islamic Rep.",2016,3.27,3.27,65207584.2
Iraq,2016,,,46662461.61
Iceland,2016,3.88,3.88,9593124.98
Israel,2016,2.96,2.96,89563001.15
Italy,2016,-0.52,-0.52,398712277.8
Jamaica,2016,-2.29,-2.29,4584906.2
Jordan,2016,-3.15,-3.15,21834620.08
Japan,2016,-1.5,-1.5,570925547.9
Kazakhstan,2016,-9.25,-9.25,34973545.34
Kenya,2016,-6.25,-6.25,18604619.77
Kyrgyz Republic,2016,-2.79,-2.79,8431372.66
Cambodia,2016,7.68,7.68,18592725.14
Kiribati,2016,3.66,3.66,139841.6
St. Kitts and Nevis,2016,6,6,428550.08
"Korea, Rep.",2016,-3.53,-3.53,412454921.1
Kuwait,2016,-0.28,-0.28,33166198.49
Lao PDR,2016,4.26,4.26,6173101.71
Lebanon,2016,0.28,0.28,25126349.81
Liberia,2016,,,10689257.86
Libya,2016,,,13914940.85
St. Lucia,2016,7.04,7.04,3719430.2
Sri Lanka,2016,1.4,1.4,18951990.8
Lesotho,2016,2.65,2.65,1365411.89
Lithuania,2016,-1.4,-1.4,24009360
Luxembourg,2016,-0.45,-0.45,21122776.54
Latvia,2016,-1.28,-1.28,20428350.74
Macao,2016,-8.25,-8.25,11257372.85
Morocco,2016,4.55,4.55,59132393.5
Moldova,2016,0.42,0.42,6575648.69
Madagascar,2016,0,0,3351698.07
Maldives,2016,5.92,5.92,1831865.06
Mexico,2016,-1.04,-1.04,395433004.1
Marshall Islands,2016,,,19073270.23
North Macedonia,2016,2.54,2.54,11261375.68
Mali,2016,,,4865309.87
Malta,2016,2.86,2.86,13564204.8
Myanmar,2016,-3.67,-3.67,22601988.41
Mongolia,2016,-6.21,-6.21,3667486.24
Northern Mariana Islands,2016,,,144675.68
Montenegro,2016,5.51,5.51,3494623.55
Mozambique,2016,-18.17,-18.17,8126710.27
Mauritania,2016,-23.39,-23.39,3364678.93
Montserrat,2016,10.2,10.2,63463.74
Mauritius,2016,2.18,2.18,5017624.34
Malawi,2016,-0.35,-0.35,1456022.11
Malaysia,2016,-2.24,-2.24,188939837
Namibia,2016,-6.56,-6.56,6525754.25
New Caledonia,2016,,,3149512.16
Niger,2016,-12.94,-12.94,1354115.96
Norfolk Island,2016,,,41186.46
Nigeria,2016,2,2,39667039.2
Nicaragua,2016,12.89,12.89,6556757.63
Niue,2016,,,18582.64
Netherlands,2016,-0.56,-0.56,481266590.1
Norway,2016,-2.38,-2.38,124362875.4
Nepal,2016,15.88,15.88,6754568.87
Nauru,2016,,,56614.86
New Zealand,2016,-0.67,-0.67,36251356.2
"Other Asia, nes",2016,,,346315914.3
Oman,2016,-10.67,-10.67,29802036.32
Pakistan,2016,3.36,3.36,51568438.12
Panama,2016,-3.57,-3.57,37013072.58
Pitcairn,2016,,,5101.08
Peru,2016,-2.5,-2.5,36543634.23
Philippines,2016,10.66,10.66,111480922.7
Palau,2016,1.06,1.06,115097.43
Papua New Guinea,2016,,,4348028.2
Poland,2016,-0.31,-0.31,205628767.3
"Korea, Dem. Rep.",2016,,,3151258.28
Portugal,2016,0.78,0.78,65267421.57
Paraguay,2016,-2.66,-2.66,9150914.04
Occ.Pal.Terr,2016,1.31,1.31,1227040.44
French Polynesia,2016,0,0,2016396.63
Qatar,2016,-0.85,-0.85,39941590.39
Romania,2016,3.34,3.34,70508433.22
Russian Federation,2016,6.53,6.53,254039189.8
Rwanda,2016,3.66,3.66,1818061.2
Saudi Arabia,2016,-10.45,-10.45,158585402
Senegal,2016,-1.06,-1.06,10968074.23
"Serbia, FR(Serbia/Montenegro)",2016,2.76,2.76,31469305.57
Singapore,2016,-2.67,-2.67,291595859.8
South Georgia,2016,,,1312.42
Saint Helena,2016,,,77444.97
Solomon Islands,2016,-1.29,-1.29,405304.49
Sierra Leone,2016,-26.21,-26.21,1183394.01
El Salvador,2016,-2.3,-2.3,8725008.64
San Marino,2016,,,529650.32
Somalia,2016,,,2720512.82
Special Categories,2016,,,41903703.37
Saint Pierre and Miquelon,2016,,,96867.26
South Sudan,2016,,,621261.3
Sao Tome and Principe,2016,-0.88,-0.88,218224.17
Sudan,2016,10.51,10.51,8329797.49
Suriname,2016,-21.46,-21.46,1326839.52
Slovak Republic,2016,1.25,1.25,66423081.95
Slovenia,2016,1.57,1.57,30518583.03
Sweden,2016,0.98,0.98,128366294.3
Eswatini,2016,0.93,0.93,1509957.03
Saint Maarten (Dutch part),2016,,,1022506.84
Seychelles,2016,25.28,25.28,1124462.05
Syrian Arab Republic,2016,,,5762437.65
Turks and Caicos Isl.,2016,,,355165.03
Chad,2016,,,881799.45
Togo,2016,-3.93,-3.93,9947967.56
Thailand,2016,-2.11,-2.11,186050893.5
Tajikistan,2016,,,3793068.13
Tokelau,2016,,,7409.16
Turkmenistan,2016,,,6965068.37
East Timor,2016,,,599296.24
Tonga,2016,,,217315.49
Trinidad and Tobago,2016,-6.66,-6.66,6622807.85
Tunisia,2016,-1.83,-1.83,29916481.63
Turkey,2016,-2.71,-2.71,258308387.5
Tuvalu,2016,,,58791.35
Tanzania,2016,-26.82,-26.82,11669954.63
Uganda,2016,-6.53,-6.53,3943193.32
Ukraine,2016,2.28,2.28,57287311.23
United States Minor Outlying I,2016,,,37179.88
Unspecified,2016,,,415371113.9
Uruguay,2016,-7.4,-7.4,12549280.41
United States,2016,-1.44,-1.44,2438625790
Uzbekistan,2016,,,11582088.71
Holy See,2016,,,80211.04
St. Vincent,2016,0.16,0.16,360248.94
Venezuela,2016,,,17328803.12
British Virgin Islands,2016,,,2322133.74
Vietnam,2016,2.74,2.74,211488189.4
Vanuatu,2016,,,407133.44
 World,2016,-1.38,-1.38,17609225890
Wallis and Futura Isl.,2016,,,48438.35
Samoa,2016,-2.84,-2.84,359469.44
Yemen,2016,,,7220490.01
South Africa,2016,-6.25,-6.25,106078931.6
"Congo, Dem. Rep.",2016,-17.5,-17.5,6173343.63
Zambia,2016,-4.15,-4.15,5134232.45
Zimbabwe,2016,-6.11,-6.11,3618324.45
East Asia & Pacific,2016,,,4640816182
Europe & Central Asia,2016,,,6275284591
Latin America & Caribbean,2016,,,1008643066
Middle East & North Africa,2016,,,1092291945
North America,2016,,,2873107123
South Asia,2016,,,469402309.7
Sub-Saharan Africa,2016,,,371019351.8
Aruba,2015,-4.75,-4.75,2798803.44
Afghanistan,2015,0.17,0.17,9914679.65
Angola,2015,-13.43,-13.43,23811391.5
Anguila,2015,,,88078.95
Albania,2015,-9.11,-9.11,6914696.76
Andorra,2015,-8.82,-8.82,2579276.03
United Arab Emirates,2015,-1.96,-1.96,290295088.8
Argentina,2015,-4.3,-4.3,64920160.01
Armenia,2015,-11.51,-11.51,2713389.54
American Samoa,2015,,,154293.7
Antarctica,2015,,,35850.93
Fr. So. Ant. Tr,2015,,,62244.86
Antigua and Barbuda,2015,-8.18,-8.18,1625421.05
Australia,2015,-6.22,-6.22,222282358
Austria,2015,-7.38,-7.38,143041736
Azerbaijan,2015,0.19,0.19,15052299.55
Br. Antr. Terr,2015,,,0
Burundi,2015,-8.7,-8.7,499129.19
Belgium,2015,-11.27,-11.27,341172681.6
Benin,2015,-17.08,-17.08,8039283.66
Bonaire,2015,,,198800.41
Burkina Faso,2015,-7.49,-7.49,2933602.18
Bangladesh,2015,,,44131416.77
Bulgaria,2015,-8.22,-8.22,27408002.36
Bahrain,2015,-9.64,-9.64,13282824
"Bahamas, The",2015,-8.67,-8.67,11649070.22
Bosnia and Herzegovina,2015,-9.54,-9.54,13009513.26
Saint Barth,2015,,,121748.5
Belarus,2015,-13.52,-13.52,27798103.68
Belize,2015,1.72,1.72,1062504.28
Bermuda,2015,-1.69,-1.69,4416055.44
Bolivia,2015,-3.97,-3.97,8274450.89
Brazil,2015,-13.43,-13.43,197316653.3
Barbados,2015,-3.59,-3.59,1565766.03
Brunei,2015,-5.28,-5.28,5753928.35
Bhutan,2015,,,587442.52
Bunkers,2015,,,42892644.51
Bouvet Island,2015,,,898.05
Botswana,2015,-6.22,-6.22,6924530.18
Central African Republic,2015,21.75,21.75,434623.92
Canada,2015,-4.84,-4.84,448230659.9
Cocos (Keeling) Islands,2015,,,7596.35
Switzerland,2015,-4.49,-4.49,414227377.6
Chile,2015,-7.51,-7.51,68708482.39
China,2015,-7.41,-7.41,1537067593
Cote d'Ivoire,2015,-3.26,-3.26,12107786.09
Cameroon,2015,-10.65,-10.65,7622395.56
"Congo, Rep.",2015,2.21,2.21,7285555.62
Cook Islands,2015,,,154656.29
Colombia,2015,-8.13,-8.13,56331118.92
Comoros,2015,-5.1,-5.1,501915.92
Cape Verde,2015,-11.33,-11.33,997237.77
Costa Rica,2015,-5.02,-5.02,14737236.83
Cuba,2015,,,9576287.45
Cura√ßao,2015,,,2711804.72
Christmas Island,2015,,,26175.2
Cayman Islands,2015,,,3589996.65
Cyprus,2015,-5.91,-5.91,9487711.26
Czech Republic,2015,-4.17,-4.17,126831283.6
Germany,2015,-6.7,-6.7,961699710.7
Djibouti,2015,,,4546307.31
Dominica,2015,,,253077.68
Denmark,2015,-7.43,-7.43,83238576.74
Dominican Republic,2015,-1.27,-1.27,16968055.84
Algeria,2015,-5.99,-5.99,71243208.04
Ecuador,2015,-11.84,-11.84,20548849.97
"Egypt, Arab Rep.",2015,1.85,1.85,90514992.14
Eritrea,2015,,,476427.88
Western Sahara,2015,,,1636.36
Spain,2015,-7.06,-7.06,290083894
Estonia,2015,-11.72,-11.72,16785449.32
Ethiopia(excludes Eritrea),2015,2.83,2.83,12201471.67
Finland,2015,-11.47,-11.47,60099743.26
Fiji,2015,-16.47,-16.47,2223243.51
Falkland Island,2015,,,480232.22
France,2015,-7.6,-7.6,540033592.3
Free Zones,2015,,,7287526.65
Faeroe Islands,2015,,,1577158.36
"Micronesia, Fed. Sts.",2015,,,173306.05
Gabon,2015,,,4894358.17
United Kingdom,2015,-4.73,-4.73,601429374.2
Georgia,2015,-7.85,-7.85,9421054.1
Ghana,2015,-6.46,-6.46,18455807.48
Gibraltar,2015,,,14203603.41
Guinea,2015,-7.68,-7.68,4342604.7
"Gambia, The",2015,0.92,0.92,1135071.73
Guinea-Bissau,2015,,,424866.6
Equatorial Guinea,2015,,,2639406.73
Greece,2015,-12.82,-12.82,41150954.14
Grenada,2015,4.38,4.38,278059.49
Greenland,2015,-12.14,-12.14,1219767.6
Guatemala,2015,-1.73,-1.73,16594884.81
Guam,2015,,,807697.53
Guyana,2015,-8.77,-8.77,1340273.47
"Hong Kong, China",2015,-3.5,-3.5,690116775.9
Heard Island and McDonald Isla,2015,,,734545.29
Honduras,2015,2.46,2.46,11400943.47
Croatia,2015,-5.21,-5.21,20148778.93
Haiti,2015,,,4177604.5
Hungary,2015,-6.66,-6.66,87118676.62
Indonesia,2015,-10.51,-10.51,156079173.3
India,2015,-7.77,-7.77,347983711.7
British Indian,2015,,,27249.85
Ireland,2015,-2.94,-2.94,69700938.83
"Iran, Islamic Rep.",2015,-12.46,-12.46,62699652.18
Iraq,2015,,,52069158.87
Iceland,2015,-0.81,-0.81,7788605.21
Israel,2015,-7.37,-7.37,84775318.72
Italy,2015,-6.9,-6.9,385627355.6
Jamaica,2015,-7.5,-7.5,4576497.98
Jordan,2015,-5.11,-5.11,23632764.91
Japan,2015,-12.24,-12.24,595680877.6
Kazakhstan,2015,-13.96,-13.96,37335326.43
Kenya,2015,,,21951117.22
Kyrgyz Republic,2015,-15.38,-15.38,7425689.54
Cambodia,2015,4.86,4.86,19831040.31
Kiribati,2015,-2.5,-2.5,184950.7
St. Kitts and Nevis,2015,5.29,5.29,396088.95
"Korea, Rep.",2015,-8.87,-8.87,432866803
Kuwait,2015,-0.85,-0.85,35060604.26
Lao PDR,2015,-7.88,-7.88,6804900.39
Lebanon,2015,-4.72,-4.72,25312047.57
Liberia,2015,,,9654059.66
Libya,2015,,,17506517.5
St. Lucia,2015,-4.68,-4.68,4373151.97
Sri Lanka,2015,-0.72,-0.72,22362982.16
Lesotho,2015,-0.5,-0.5,1434315.2
Lithuania,2015,-10.55,-10.55,23230282.31
Luxembourg,2015,-10.05,-10.05,22322881.13
Latvia,2015,-9.28,-9.28,22131121.24
Macao,2015,-3.17,-3.17,13752584.09
Morocco,2015,-9.13,-9.13,52313047.79
Moldova,2015,-13.41,-13.41,6053315.53
Madagascar,2015,-5.36,-5.36,3269740.85
Maldives,2015,-2.44,-2.44,1543367.03
Mexico,2015,-0.59,-0.59,401984585.7
Marshall Islands,2015,,,18245908.61
North Macedonia,2015,-6.18,-6.18,10387558.17
Mali,2015,,,4351556.51
Malta,2015,-10.35,-10.35,18355672.6
Myanmar,2015,2.08,2.08,23281788.61
Mongolia,2015,-13.98,-13.98,4264179.9
Northern Mariana Islands,2015,,,166310.1
Montenegro,2015,-6.93,-6.93,3131548.02
Mozambique,2015,-4.9,-4.9,10680852.61
Mauritania,2015,0.84,0.84,3443237.41
Montserrat,2015,-15.89,-15.89,22365.53
Mauritius,2015,-10.83,-10.83,5160933.34
Malawi,2015,-9.2,-9.2,1468975.07
Malaysia,2015,-8.15,-8.15,201293672.7
Namibia,2015,-5.01,-5.01,7661313.06
New Caledonia,2015,-12.65,-12.65,3393135.29
Niger,2015,6.9,6.9,1825865.57
Norfolk Island,2015,,,23135.06
Nigeria,2015,-14.73,-14.73,52019391.21
Nicaragua,2015,1.04,1.04,6346228.19
Niue,2015,,,19288.55
Netherlands,2015,-9.89,-9.89,498951354.2
Norway,2015,-7.58,-7.58,126734898.1
Nepal,2015,-6.66,-6.66,5537165.62
Nauru,2015,,,88854.16
New Zealand,2015,-7.3,-7.3,38170231.51
"Other Asia, nes",2015,,,349849224.6
Oman,2015,-0.51,-0.51,32386704.84
Pakistan,2015,-3.81,-3.81,46729636.53
Panama,2015,-4.69,-4.69,42883655.31
Pitcairn,2015,,,1566.62
Peru,2015,-5.05,-5.05,38638015.04
Philippines,2015,1.78,1.78,105170754.6
Palau,2015,-4.55,-4.55,101621.77
Papua New Guinea,2015,,,5139255.91
Poland,2015,-6.44,-6.44,199497338
"Korea, Dem. Rep.",2015,,,3498955.1
Portugal,2015,-7.62,-7.62,64012479.12
Paraguay,2015,-8.04,-8.04,9366050.22
Occ.Pal.Terr,2015,-4.11,-4.11,1113197.49
French Polynesia,2015,-6.91,-6.91,2031011.6
Qatar,2015,3.49,3.49,43170311.57
Romania,2015,-5.3,-5.3,67353080.82
Russian Federation,2015,-20.15,-20.15,258884297.5
Rwanda,2015,3.94,3.94,1389949.56
Saudi Arabia,2015,1.93,1.93,202261371
Senegal,2015,-7.24,-7.24,10770081.92
"Serbia, FR(Serbia/Montenegro)",2015,-6,-6,29655296.55
Singapore,2015,-9.71,-9.71,307870281.7
South Georgia and the South Sa,2015,,,455.47
Saint Helena,2015,,,117237.84
Solomon Islands,2015,-3.41,-3.41,387148.72
Sierra Leone,2015,-7.51,-7.51,1438918.52
El Salvador,2015,-1.06,-1.06,9205799.59
San Marino,2015,,,560525.56
Somalia,2015,,,2330603.94
Special Cate.,2015,,,47024694.94
Saint Pierre and Miquelon,2015,,,84322.33
South Sudan,2015,,,866838.49
Sao Tome and Principe,2015,-8.58,-8.58,203588.96
Sudan,2015,-6.92,-6.92,9202666.75
Suriname,2015,2.11,2.11,2039534.3
Slovak Republic,2015,-5.1,-5.1,66660441.49
Slovenia,2015,-7.21,-7.21,29097657.44
Sweden,2015,-7.78,-7.78,125764295
Eswatini,2015,-6.63,-6.63,1602463.25
Saint Maarten (Dutch part),2015,,,1071777.99
Seychelles,2015,-40.69,-40.69,1239342.4
Syrian Arab Republic,2015,,,6385361.43
Turks and Caicos Isl.,2015,,,346116.75
Chad,2015,,,1243868.69
Togo,2015,-3.92,-3.92,13778696.76
Thailand,2015,-5.71,-5.71,189862592.2
Tajikistan,2015,,,3933628.73
Tokelau,2015,,,8531.38
Turkmenistan,2015,,,7876350.47
East Timor,2015,,,635623.49
Tonga,2015,,,180218.45
Trinidad and Tobago,2015,-9.36,-9.36,7159249.91
Tunisia,2015,-9.69,-9.69,30866866.71
Turkey,2015,-7.77,-7.77,262010567.3
Tuvalu,2015,,,75875.46
Tanzania,2015,7.65,7.65,14219176.28
Uganda,2015,-4.6,-4.6,3864166.49
Ukraine,2015,-16.94,-16.94,50565554.69
United States Minor Outlying I,2015,,,91343.82
Unspecified,2015,,,497986335.7
Uruguay,2015,-6.1,-6.1,13859546.24
United States,2015,-2.04,-2.04,2495720695
Uzbekistan,2015,,,12340064.97
Holy See,2015,,,101467.82
St. Vincent and the Grenadines,2015,-3.93,-3.93,433867.11
Venezuela,2015,,,31752699.43
British Virgin Islands,2015,,,3410280.55
Vietnam,2015,5.89,5.89,202330416.6
Vanuatu,2015,,,391900.54
 World,2015,-6.3,-6.3,18116636674
Wallis and Futura Isl.,2015,,,56722.62
Samoa,2015,-2.27,-2.27,320898.61
Yemen,2015,-26.12,-26.12,7130037.49
South Africa,2015,-7.43,-7.43,116553434.9
"Congo, Dem. Rep.",2015,,,7445374.38
Zambia,2015,-10.61,-10.61,5655052.6
Zimbabwe,2015,-0.14,-0.14,4166512.78
East Asia & Pacific,2015,,,4790591307
Europe & Central Asia,2015,,,6243275254
Latin America & Caribbean,2015,,,1088150565
Middle East & North Africa,2015,,,1163807858
North America,2015,,,2948367410
South Asia,2015,,,478790401.9
Sub-Saharan Africa,2015,,,425416894.2
